entrez_id_human,entrez_id_mouse,pleiotropy_HPO,pleiotropy_MPO,median_exp,mean_exp,count_exp
3859,268482.0,1.0,0.0,0.0265209,0.10909246037735848,0.0
3860,16663.0,1.0,1.0,2.7227,897.6861289811319,7.0
3861,16664.0,2.0,2.0,1.63877,344.54767065283016,9.0
3866,16665.0,,1.0,0.266034,46.56896074528302,8.0
3868,16666.0,1.0,2.0,0.289544,23.163117135849053,6.0
3872,16667.0,1.0,2.0,1.20881,52.42782198113207,10.0
3875,16668.0,1.0,2.0,19.8155,74.82698186792454,37.0
3880,16669.0,,2.0,13.5869,132.9985590943396,27.0
3849,16681.0,1.0,2.0,0.568901,174.80557115094345,2.0
54474,66809.0,,,0.0385013,8.101919021509435,2.0
125113,268481.0,,,1.0293,3.5304661749056603,6.0
25984,94179.0,,,0.121218,10.002728854716981,6.0
192666,75706.0,,,0.0823121,1.6630558830188678,1.0
147183,70810.0,1.0,1.0,0.0,0.07195047169811321,0.0
353288,320864.0,,,0.0,0.02987168679245283,0.0
342574,16675.0,,2.0,0.0458907,0.10615357169811318,0.0
162605,70843.0,,1.0,0.0,0.018212824528301887,0.0
3882,16670.0,,,0.0,0.23325992075471705,0.0
3886,53617.0,,,0.0,0.02684313018867925,0.0
8689,16673.0,,1.0,0.0,0.07795481698113209,0.0
390792,237934.0,,,0.0,0.0461493424528302,0.0
3851,16682.0,1.0,1.0,1.45692,432.3097034113208,2.0
125115,406221.0,,,0.012933,0.14913510886792453,0.0
3852,110308.0,2.0,2.0,2.26698,422.4581478679244,7.0
3855,110310.0,,1.0,1.9318,36.46943157169811,18.0
112802,56735.0,1.0,1.0,0.0241042,0.06018279811320754,0.0
140807,105866.0,,2.0,0.0532028,1.6522940150943397,3.0
319101,223915.0,,,0.0210684,0.895794003773585,2.0
121391,406222.0,1.0,1.0,0.0,0.10932613018867925,0.0
9119,109052.0,,1.0,0.0,0.27728895283018873,0.0
51350,77055.0,,1.0,0.0,0.017104294716981133,0.0
374454,406220.0,,1.0,0.0515666,12.552748483018865,2.0
196374,332131.0,,,0.0943184,15.77632341509434,4.0
338785,223917.0,,,0.0302433,0.9455704381132077,2.0
3856,16691.0,,2.0,18.6953,54.92845337735851,32.0
144501,74127.0,,1.0,0.312507,18.722601984905662,5.0
3888,114566.0,,,0.0,0.013621488113207547,0.0
3890,16680.0,,,0.0,0.017227477358490565,0.0
3891,53622.0,1.0,,0.0214364,0.06524882660377358,0.0
85348,66322.0,,,,,
3857,107656.0,1.0,1.0,0.0,0.17657786226415098,0.0
85340,239673.0,,1.0,0.0,0.002016362264150943,0.0
337880,16693.0,,,0.0,0.016214849056603774,0.0
254950,26560.0,,,0.0,0.0,0.0
100505753,100504183.0,,,0.0,0.015924377358490567,0.0
83902,77914.0,,2.0,0.0,0.024481096226415092,0.0
337971,170651.0,,,0.0,0.0,0.0
643803,239932.0,,,0.0,0.0015679169811320755,0.0
388818,69533.0,,,0.0,0.0037477169811320757,0.0
643812,239933.0,,,0.0,0.0,0.0
100533177,100462664.0,,,0.0,0.009856345283018868,0.0
83896,69473.0,,,0.0,0.012932494339622642,0.0
387267,115486481.0,,,0.0,0.019650162264150946,0.0
439915,114666.0,,,0.0,0.05237750943396226,0.0
337878,71363.0,,1.0,0.0,0.007257622641509434,0.0
337879,16703.0,,2.0,0.0,0.0056450943396226414,0.0
200185,66059.0,,1.0,34.923,34.321898113207546,53.0
200634,69815.0,,,4.76255,10.000549849056606,15.0
388533,64661.0,,,0.973128,179.09153947169813,5.0
8844,16706.0,,2.0,12.3362,15.228074716981132,35.0
283455,333050.0,,1.0,0.106876,1.3090490001886792,3.0
112970,100087.0,,1.0,10.1604,10.613262075471697,27.0
3895,16709.0,,,68.5037,67.20471509433962,53.0
79036,75620.0,,1.0,43.0009,44.64945094339622,53.0
339855,16716.0,1.0,2.0,0.756441,1.2699926950943397,0.0
883,70266.0,,1.0,6.58909,7.65661716981132,14.0
56267,229905.0,,,28.2768,27.306456603773583,51.0
8942,70789.0,1.0,2.0,0.210401,0.5748900716981132,0.0
3897,16728.0,1.0,2.0,8.19079,24.71134943396226,23.0
54596,381591.0,,,0.147105,0.5007168867924529,0.0
79944,217666.0,1.0,1.0,2.72778,3.1621352830188676,0.0
112849,67217.0,,,11.8939,13.247500188679242,30.0
26013,241764.0,,,6.55014,8.658518679245283,14.0
83746,214669.0,,1.0,22.2865,23.759840566037738,51.0
84456,237339.0,,2.0,4.28281,5.992068924528301,8.0
91133,320858.0,,,1.70958,2.124174811320754,1.0
144811,210808.0,1.0,1.0,5.70125,5.797405660377359,4.0
114294,80907.0,,1.0,8.96183,10.022726792452827,23.0
51110,212442.0,,2.0,9.50426,11.350333018867923,20.0
646262,242707.0,,,0.0,0.015612432075471697,0.0
3898,16763.0,,,0.459176,27.323259015094347,13.0
3902,16768.0,,1.0,1.72869,4.399217207547169,5.0
8270,66192.0,1.0,1.0,24.1844,28.078028301886793,53.0
3906,16770.0,,1.0,0.0,0.047006037735849056,0.0
284217,16772.0,1.0,2.0,0.740837,1.924200103773585,2.0
3908,16773.0,1.0,2.0,16.5156,26.247497679245274,33.0
